,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,DAGMM,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
lymphography,0.029932735819498325,0.0,0.003856162092737152,,0.031730389527578416,0.016247631667854676,0.1694403915097428,0.024264285284090862,0.0094286870190528,0.14476993848589387,0.04189543339430232,0.06588783486315707,0.006315670162255161,,,0.03685160549998962,0.24179581580662252,0.28317729939562536,,0.24583850706855145,0.12223122620301351,0.0,0.08220206906811764,0.0,
magic.gamma,0.011575546875303416,0.0,2.660193951794434e-05,0.0,0.0,0.0,0.004410311599461635,0.0,0.0,0.012127618959109675,0.0,0.0010129215446016246,0.0,0.0,0.021269685629764872,0.006708244355331636,0.02698953006375789,0.005537449973412141,0.02268057700363784,0.008950059734072644,0.004741614899868929,0.006560658907008767,0.012803781704588521,0.004673111511206864,0.002417071735303043
mammography,0.017749989604100354,0.0,0.0014571824868104205,0.0,0.0,0.0,0.017718723254160434,0.0,0.0,0.018096560033559198,0.0,0.001387121787517539,0.0,0.0,0.03060351142751608,0.1305484524084546,0.08258089809934215,0.052771036721651426,0.03030506226794168,0.0509917692173375,0.07351450126902642,0.02131030475200547,0.03942104459187554,0.02016005666400591,0.027445004479560144
mnist,0.07397930960477436,0.0,0.004174091493470796,0.0,0.0,0.0,0.007364418470156978,0.0,0.0,0.08817360570940981,0.0,0.06723900869951895,0.0,0.0,0.09673094178613152,0.04490628673573317,0.08943963686372924,0.029783976104453012,0.09291108680362704,0.027931557361345873,0.048401029076339724,0.017011030573431583,0.0188411920384268,0.017011030573431583,0.01577029396051522
musk,0.25202805256197736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11987412613670197,0.0,0.13578063574043817,0.0,0.0,0.13599212722000187,0.0,0.18803635647831227,0.0,0.13852950042563508,0.0,0.0,0.0705559786329765,0.0,0.0705559786329765,0.0
optdigits,0.030358853851440663,0.0,0.013212701860733684,0.0,0.0,0.0,0.03447575171231671,0.0,0.0,0.005140644772769006,0.0,0.0019712509802733333,0.0,0.0,0.004965003530545596,0.07682690213926308,0.018073418294257047,0.04172075307095205,0.00558679996204613,0.0347837998437068,0.020056017705560064,0.09600018310066086,0.029497694349968594,0.03407994986619771,0.020208935114138002
pageblocks,0.022900203806294116,0.0,0.0012006607402614542,0.0,0.0,0.0,0.008271834472291104,0.0,0.0,0.024717318945013493,0.0,0.0004443183545144402,0.0,0.0,0.057843269899891754,0.055541517286095674,0.17250825375812262,0.049862662238958994,0.06911652714239168,0.015814390915544273,0.020133403766946986,0.026106438032496224,0.01817588190132098,0.014300464035108785,0.013995086983567367
pendigits,0.06014370307106678,0.0,0.0021409867670823613,,0.0,0.0,0.01876467318217996,0.0,0.0,0.08802070519643555,0.0,0.000802232586802207,0.0,,,0.02976330520248224,0.1412895884354142,0.01984914818960958,,0.02666110919504157,0.02176090492292213,0.06477931302463835,0.04339929204643511,0.06560101116744027,
pima,0.023926039630587807,0.03912667968388833,0.031959286913773595,0.02845378223291626,0.02555701709208485,0.025257243325359346,0.040813070881071306,0.027205857485650166,0.03282232150123983,0.0851811896090541,0.040441991735575916,0.03527341839428754,0.03904151054682865,0.017599864409027235,0.0352558304516672,0.0100545769347244,0.060920030572166294,0.03900903411083925,0.03490167192871836,0.03376543309961599,0.024852882100530656,0.022176995874170425,0.02936147584318537,0.0099404740179403,0.026786834433697265
satellite,0.010127548161394679,0.0,0.0002551136449936649,0.0,0.0,0.0,0.0005506780827870106,0.0,0.0,0.010547374376256913,0.0,0.03290632308617771,0.0,0.0,0.06429756357614791,0.019918569360496793,0.06770459108391366,0.014756252695845264,0.07108035778265549,0.010109389918323573,0.013788896448714071,0.0020210562038718515,0.006003570941985105,0.0024476463420834552,0.0033252821240576237
satimage-2,0.006180751005207161,0.0,0.00012704583200097913,0.0,0.0,0.0,0.0059646739453695155,0.0,0.0,0.007280284590789137,0.0,3.524726918137049e-05,0.0,0.0,0.12141173045806647,0.06840092824295413,0.10611898788964648,0.06057115960618693,0.11101815798626417,0.09378481811045354,0.054727992928764874,0.013630619696773802,0.0631099828028244,0.004067859843469307,0.046539275970555974
