,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
landsat,0.432483120780195,0.3855963990997749,0.38315828957239306,0.3915978994748688,0.3383345836459114,0.3075768942235559,0.5391972993248313,0.5213803450862715,0.5146286571642911,0.3657164291072768,0.536384096024006,0.4596774193548387,0.3398349587396849,0.374343585896474,0.36402850712678164,0.4343585896474118,0.3223930982745686,0.37753188297074264,0.33420855213803446,0.32501875468867214,0.5390097524381096,0.3426481620405101,0.5491372843210802,0.3028882220555138
letter,0.04,0.01,0.01,,0.04,0.09,0.08750000000000001,0.06,0.01,0.0125,0.1,0.0225,0.01,,,0.052500000000000005,0.030000000000000002,,0.030000000000000002,0.0325,0.07500000000000001,0.035,0.055,
lymphography,0.8408545827456476,1.0,0.8882355218799527,,0.8780381722548185,0.8611248530159179,0.6612212384856203,0.8838521257431906,0.9312281779387043,0.2561263416526574,0.763651851473149,0.8466815054177356,0.9079723639852159,,,0.8727826455029638,0.6159296536438519,,0.5698721351261131,0.7444435505941014,1.0,0.7626504049392666,1.0,
magic.gamma,0.6952751196172249,0.683761961722488,0.6923968301435407,0.6079545454545454,0.6285885167464115,0.597188995215311,0.765924043062201,0.6719497607655502,0.7616626794258372,0.6545305023923444,0.7607655502392345,0.6789025119617225,0.6519138755980861,0.6797248803827751,0.47103020334928225,0.5976001794258373,0.7978842703349283,0.4681892942583732,0.8088741028708134,0.8097712320574163,0.6972562799043063,0.8012858851674641,0.7350852272727273,0.8150418660287081
mammography,0.40192307692307694,0.4192307692307693,0.4923076923076923,0.173076923076923,0.5269230769230769,0.5307692307692308,0.39615384615384613,0.1692307692307692,0.4038461538461538,0.4740384615384615,0.3846153846153846,0.026923076923076876,0.4461538461538462,0.1923076923076923,0.4067307692307692,0.2875,0.3211538461538461,0.42884615384615377,0.35769230769230764,0.4125,0.1894230769230769,0.41057692307692306,0.24999999999999994,0.38269230769230766
mnist,0.5225,0.6428571428571429,0.66,0.3157142857142857,0.0,0.0,0.6939285714285715,0.2414285714285714,0.7185714285714285,0.33678571428571424,0.7142857142857143,0.5575,0.6385714285714286,0.4285714285714285,0.3539285714285714,0.4021428571428571,0.5996428571428571,0.3646428571428571,0.5589285714285714,0.5792857142857143,0.6535714285714286,0.6007142857142858,0.6535714285714286,0.5785714285714285
musk,0.42525773195876293,1.0,1.0,0.2474226804123711,0.8762886597938144,0.9278350515463918,1.0,1.0,1.0,0.9072164948453608,1.0,0.5515463917525774,1.0,0.2268041237113402,0.7989690721649484,1.0,1.0,0.7963917525773195,1.0,1.0,0.845360824742268,1.0,0.845360824742268,1.0
optdigits,0.13999999999999999,0.0066666666666666,0.01666666666666665,0.0733333333333333,0.0,0.0,0.4666666666666666,0.4066666666666667,0.2133333333333333,0.013333333333333301,0.5333333333333333,0.0,0.0066666666666666,0.0066666666666666,0.004999999999999975,0.05999999999999998,0.10666666666666663,0.004999999999999975,0.09666666666666662,0.1933333333333333,0.5850000000000001,0.10999999999999997,0.42,0.0933333333333333
pageblocks,0.42450980392156856,0.5568627450980392,0.6534313725490196,0.307843137254902,0.3666666666666666,0.492156862745098,0.6392156862745098,0.1235294117647058,0.5901960784313726,0.45441176470588235,0.6588235294117647,0.5759803921568627,0.4686274509803921,0.4372549019607843,0.3955882352941176,0.5431372549019607,0.634313725490196,0.3622549019607843,0.6137254901960785,0.6034313725490197,0.6465686274509803,0.6269607843137255,0.6446078431372549,0.6127450980392157
pendigits,0.578525641025641,0.532051282051282,0.4951923076923077,,0.3525641025641026,0.4358974358974359,0.8269230769230769,0.4102564102564102,0.903846153846154,0.4262820512820513,0.7628205128205128,0.1426282051282051,0.4423076923076923,,,0.09775641025641023,0.5913461538461539,,0.5753205128205128,0.6634615384615384,0.5913461538461539,0.5961538461538461,0.7836538461538461,
pima,0.6937699162839277,0.6836956537900308,0.6911038122883426,0.49429400559761427,0.6273932898126777,0.5806342980676744,0.6846306386134167,0.6911806504980367,0.7039821806769663,0.6050649932513936,0.6694110710940185,0.7091473674962648,0.6947198342753327,0.5209794593146678,0.3746549193023763,0.5569129329012302,0.666122745624171,0.37676289311900224,0.6545362276863592,0.686010122038679,0.7281700206656614,0.6652043373705981,0.7350547721197791,0.6764407315461096
satellite,0.6705550098231827,0.6733791748526523,0.6401031434184675,0.5112966601178782,0.6070726915520629,0.5663064833005894,0.7261787819253438,0.7598231827111984,0.7180746561886051,0.6494351669941061,0.7264243614931237,0.637278978388998,0.6267190569744597,0.5044204322200393,0.6209479371316307,0.6829567779960708,0.7024803536345776,0.6140717092337917,0.7254420432220039,0.7237229862475442,0.7508595284872299,0.725196463654224,0.7425098231827112,0.7239685658153242
satimage-2,0.9014084507042254,0.9154929577464788,0.9295774647887324,0.1690140845070422,0.8028169014084506,0.7887323943661971,0.8450704225352113,0.8309859154929577,0.9014084507042254,0.8908450704225352,0.8169014084507042,0.9577464788732394,0.8732394366197183,0.2816901408450704,0.17957746478873238,0.7429577464788732,0.7429577464788732,0.11971830985915491,0.573943661971831,0.7816901408450705,0.880281690140845,0.7253521126760564,0.897887323943662,0.6866197183098591
shuttle,0.9662489319282256,0.9649672457989176,0.9635431500996867,0.191683281116491,0.9606949587012248,0.9179720877242952,0.38165764739390484,0.9507262888066078,0.9823412133295356,0.4431785816006835,0.9840501281686128,0.8461976644830532,0.9578467673027627,0.1825690686414127,0.024423241241811403,0.9800626602107662,0.9799202506408431,0.014739390487040677,0.9794218171461122,0.9799914554258047,0.9879663913414982,0.9799914554258047,0.9910994018798063,0.9799914554258047
skin,0.7818070874927031,0.7987439425765357,0.81290801130507,,0.20111507408159096,0.21972341841716164,0.5891131713089877,0.5826767018374461,0.965792787653287,0.5480971783577475,0.7062306926655404,0.7667698761258445,0.37665220831412993,,,0.4351404158726897,0.8219016723024859,,0.8178547952800186,0.8176145323063042,0.0096232849416002,0.8172725474807978,0.5849057620840933,
smtp,0.0,0.696813725490196,0.696813725490196,,0.0,0.696813725490196,0.0,0.0,0.696813725490196,0.07822128851540615,0.6821078431372549,0.0,0.696813725490196,,,0.40269607843137256,0.5968137254901961,,0.696813725490196,0.696813725490196,0.07142857142857142,0.696813725490196,0.5634803921568627,0.696813725490196
spambase,0.7991363907087552,0.7855866587254319,0.7885646217986897,0.4997022036926742,0.7159023228111971,0.6950565812983919,0.7081596188207266,0.7492555092316855,0.8052412150089339,0.7275163787969029,0.7397260273972603,0.7808219178082192,0.7849910661107802,0.6259678379988088,0.4578618225134008,0.6782310899344848,0.800625372245384,0.4684335914234663,0.8046456223942823,0.802114353782013,0.7945205479452054,0.8061346039309112,0.8167063728409768,0.8052412150089339
speech,0.040983606557377,0.0327868852459016,0.0163934426229508,0.0163934426229508,0.0327868852459016,0.0327868852459016,0.0327868852459016,0.0491803278688524,0.0327868852459016,0.0204918032786885,0.0327868852459016,0.0204918032786885,0.0327868852459016,0.0491803278688524,0.012295081967213099,0.0204918032786885,0.0245901639344262,0.012295081967213099,0.0286885245901639,0.0286885245901639,0.0204918032786885,0.0286885245901639,0.0204918032786885,0.0327868852459016
stamps,0.6303408838552076,0.6600312754459989,0.6612473166037456,0.19033644237175215,0.6701961655192834,0.4854909689836405,0.6917099711303576,0.5677518691242875,0.7704580279813458,0.5817682656007106,0.6795993411799541,0.2860209860093271,0.6062460211710712,0.18726090014064697,0.2898047597897698,0.3836286919831223,0.6227318824487379,0.28702698201199195,0.6202611222148198,0.6369744244577689,0.7810681767710416,0.6328901102968392,0.8115188022799615,0.600504293434007
thyroid,0.814516129032258,0.7526881720430108,0.739247311827957,0.075268817204301,0.3010752688172043,0.5913978494623656,0.40591397849462363,0.7741935483870968,0.7526881720430108,0.6935483870967742,0.5268817204301075,0.7311827956989246,0.7419354838709677,0.4086021505376344,0.44086021505376344,0.6666666666666667,0.7634408602150538,0.42741935483870963,0.6639784946236559,0.18279569892473116,0.5376344086021505,0.6370967741935484,0.6155913978494624,0.40591397849462363
vertebral,0.16612428670449783,0.20672588980088571,0.26491012357600424,,0.0,0.13631324631518316,0.34039723598971494,0.10853663075825275,0.24452992644563012,0.08214605895164817,0.3217172177474965,0.18999558035919042,0.14400147537138674,,,0.1698721561892194,0.39819912761334897,,0.39806379247784524,0.3947464008235155,0.6257536026368327,0.4539280700728123,0.7606714372630862,
vowels,0.14,0.28,0.19,0.54,0.06,0.22,0.36,0.08,0.26,0.09,0.34,0.0,0.12,0.56,0.0,0.21,0.39,0.0,0.395,0.425,0.26,0.415,0.35,0.42499999999999993
waveform,0.095,0.13,0.265,0.12,0.09,0.07,0.305,0.08,0.27,0.0625,0.28,0.09,0.09,0.13,0.052500000000000005,0.15,0.135,0.05500000000000001,0.1525,0.14250000000000002,0.26,0.1375,0.20749999999999996,0.14500000000000002
wbc,0.885121204278813,0.8922640614216701,0.8290696169772257,0.07010869565217387,0.8376509661835749,0.8376509661835749,0.07857142857142857,0.8320954106280194,0.8557561249137337,0.7445954106280194,0.17651397515527945,0.7647623360938578,0.8922640614216701,0.4545311421670117,0.0,0.5616912525879917,0.4372606107660455,0.0,0.3597243788819875,0.4746031746031746,0.9302234299516909,0.3340299344375431,0.9460748792270531,0.3871247412008281
