,IForest,OCSVM,CBLOF,COF,COPOD,ECOD,FeatureBagging,HBOS,KNN,LODA,LOF,MCD,PCA,SOD,SOGAAL,DeepSVDD,diffusion_420_bins_10,MOGAAL,diffusion_420_bins_10_0.01,diffusion_420_bins_5,ICL,diffusion_420_bins_7,ICL_bagging,diffusion_420_bins_7_bagging
wdbc,0.10312900222196464,0.023176700845526445,0.05867440646949896,0.0,0.02806721565234185,0.11320197472352145,0.054458254349446227,0.06561245168427315,0.02611604116268293,0.23412842192024977,0.05671581720397059,0.081321124170017,0.013245298815106346,0.10449610853694423,0.0,0.08343300740809892,0.048807363572427494,0.0,0.03273333911966529,0.07923657036733026,0.08975481395051907,0.08498510544836632,0.06206537408957878,0.082170436998723
wilt,0.002246499101905167,0.0,0.004492998203810332,,0.0,0.0,0.15307134513698,0.0,0.0,0.006645233959766255,0.0,0.0,0.0,,,0.0019455252918287999,0.0337722868126888,,0.04619001012483491,0.0471631072258799,0.029182879377431855,0.0671323698812323,0.0373216460958188,
wine,0.04889479026371667,0.04265473265285074,0.030577200147193968,0.12872005905464295,0.043349568879209203,0.10312328748763464,0.059494716900267315,0.09568783816158613,0.0414202094543911,0.09892756794977169,0.02811389375692463,0.1451690785216852,0.0642293175508532,0.0,0.0,0.08129388374049305,0.023121777237660564,0.0,0.0,0.02500000000000002,0.017045454545454586,0.024768904347781142,0.017045454545454586,0.005681818181818186
wpbc,0.021967304171838738,0.01463477171869385,0.030278508033430084,0.03764497645911821,0.04282278199848165,0.02200358589858257,0.054690220764152565,0.039161528366534956,0.024155635853154465,0.040813716294277,0.045677155665378985,0.035934479002785305,0.02882909979562479,0.031315455102758835,0.06073188339048295,0.05886188595937378,0.059873270727591736,0.06467439171993887,0.0711149097414912,0.05114917030102668,0.00995572601101922,0.06642454315276929,0.012141876982736503,0.03841628370618702
yeast,0.00939043843332392,0.0,0.0011387579273957013,0.0,0.0,0.0,0.017223125440407258,0.0,0.0,0.021028514913503566,0.0,0.0019723865877712458,0.0,0.0,0.01668775824654446,0.050961802861167235,0.008597433813689723,0.015530587522705756,0.03788403059131091,0.012370077397913744,0.012091764732248277,0.032344534139192756,0.008875739644970447,0.01434789799000344
yelp,0.005972157622389641,0.0,0.001914854215512678,,0.0,0.0,0.0019148542155126816,0.0,0.0,0.02478574859336173,0.0,0.0025166114784235865,0.0,,,0.04014556845614054,0.04766550115125194,,0.023572582944316193,0.031091263510296046,0.00840634680861233,0.05357860269423481,0.00840634680861233,
MNIST-C,0.02058055438614058,0.0,0.0013209741366045085,,0.0,0.0,0.006046897680046726,0.0,0.0,0.05430219701437233,0.0,0.04852959640155242,0.0,,,0.03181445032380589,0.012287283021326843,,0.013450196961837049,0.015106242143612607,0.010486550002213199,0.010884053443278745,0.011632608394722337,
FashionMNIST,0.021563931735133345,0.0,0.0027650280123876847,,0.0,0.0,0.0060885877995031906,0.0,0.0,0.03666588572063889,0.0,0.060650447821644714,0.0,,,0.022950984023340677,0.015084199805611969,,0.0086943106811365,0.012926499681016182,0.012686564749464632,0.011305759504458408,0.010276782421532618,
CIFAR10,0.012862599268490222,0.0,0.005353451350006138,,0.0,0.0,0.0072610654087179385,0.0,0.0,0.028641844281126982,0.0,0.021768276215484293,0.0,,,0.02089903105150917,0.0064721581177767185,,0.010299010287641387,0.013138154352290515,0.014497283420793311,0.009715558445361662,0.01364277081136828,
SVHN,0.00988160056497151,0.0,0.0037732653378483366,,0.0,0.0,0.004891707049738886,0.0,0.0,0.02373550356819135,0.0,0.01783060922981796,0.0,,,0.01604920987669229,0.006414623918571217,,0.005578573560196795,0.005953279824453762,0.009259883783577482,0.004985105139378973,0.01082352828934707,
MVTec-AD,0.026919163583911478,0.02666946818260739,0.030301836163385387,,0.0451852373003998,0.0451852373003998,0.03169619675347409,0.02610387603955721,0.03139267905297087,0.03522540003348297,0.03123499552143859,0.03265887005506721,0.026186827785270473,,,0.0341317736476808,0.022462737317768208,,0.030710134068973462,0.03191723749837201,0.02018822469262441,0.03279641157554156,0.020728966007345848,
20news,0.015900363423510144,0.00941943263128092,0.020916432320308282,,0.00883246956201183,0.010777554551084381,0.012874622405586253,0.008890762902201645,0.016271843371149914,0.018449939518938255,0.012936220721306206,0.014060489657131811,0.00757306817208666,,,0.03668626422974739,0.03633557518332937,,0.034043567598635825,0.0499712483408499,0.020066190234006902,0.0318334354306283,0.01807735541109066,
agnews,0.006131975521096549,0.0,0.00303245906870993,,0.0,0.0,0.00375748852510539,0.0,0.0,0.01548065384912294,0.0,0.003064448849669875,0.0,,,0.017492114420910122,0.026764409399026554,,0.04712482907942568,0.03947868846132058,0.006788564776651579,0.03812977328324991,0.007016537440239333,
